BAS ID,GEOID for TIGERweb,Name,MTDB Expanded Lsad,Tribe Name,State FIPS,State Abbreviation,County FIPS,County Name,ANSI Code
49902594015,4015,Stockbridge Munsee Community,Community,"Stockbridge Munsee Community, Wisconsin",55,WI,115,Shawano,01577203
49902834445,4445,Upper Sioux Reservation,Community,"Upper Sioux Community, Minnesota",27,MN,173,Yellow Medicine,00653567
49902834445,4445,Upper Sioux Reservation,Community,"Upper Sioux Community, Minnesota",27,MN,023,Chippewa,00653567
49902944665,4665,Woodfords Community,Community,Washoe Tribe of Nevada & California (Woodfords Community),06,CA,003,Alpine,01985241
49903035003,5003,Anahola (Agricultural) Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,007,Kauai,02634609
49903035004,5004,Anahola (Residential) Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,007,Kauai,02634610
49903035008,5008,East Kapolei Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02634611
49903035009,5009,Haiku Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02634612
49903035011,5011,Hanapepe Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,007,Kauai,00359057
49903035018,5018,Homuula-Upper Piihonua Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,02634613
49903035026,5026,Honokaia Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,00359289
49903035029,5029,Honokowai Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,01853346
49903035030,5030,Honolulu Makai Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,01853354
49903035031,5031,Honomu Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,01853338
49903035033,5033,Hoolehua-Palaau,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,01853339
49903035041,5041,Kahikinui Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,00359755
49903035043,5043,Kakaina-Kumuhau Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02634614
49903035044,5044,Kalaeloa Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02634615
49903035046,5046,Kalamaula Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,01853005
49903035051,5051,Kalaupapa Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,005,Kalawao,00360095
49903035051,5051,Kalaupapa Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,00360095
49903035053,5053,Kalawahine Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02634616
49903035056,5056,Kamaoa-Puueo Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,01853340
49903035061,5061,Kamiloloa-Makakupaia Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,00360304
49903035066,5066,Kamoku-Kapulena Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,01853341
49903035067,5067,Kanehili Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02634618
49903035069,5069,Kaohe-Olaa Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,00362767
49903035071,5071,Kapaa Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,007,Kauai,00360456
49903035076,5076,Kapaakea Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,00360469
49903035083,5083,Kapolei Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02414178
49903035086,5086,Kaumana Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,00360700
49903035088,5088,Kaupea Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02634619
49903035091,5091,Kawaihae Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,01853020
49903035098,5098,Keahuolu Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,02634620
49903035101,5101,Kealakehe Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,01853342
49903035104,5104,Keanae-Wailua Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,00360975
49903035106,5106,Keaukaha Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,01853343
49903035111,5111,Kekaha Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,007,Kauai,01853344
49903035114,5114,Keokea (Agricultural) Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,02634621
49903035116,5116,Keoniki Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,00361139
49903035120,5120,Kewalo Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02634622
49903035123,5123,Kolaoa Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,00360067
49903035133,5133,Lalamilo Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,02414179
49903035134,5134,Lanai City Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,02634623
49903035135,5135,Leialii Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,02634624
49903035136,5136,Lualualei Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,00361918
49903035138,5138,Maili Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02634625
49903035139,5139,Makaha Valley Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02634626
49903035146,5146,Makuu Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,00362126
49903035148,5148,Maluohai Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02634627
49903035156,5156,Moloaa Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,007,Kauai,00362464
49903035161,5161,Nanakuli Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,00362574
49903035166,5166,Nienie Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,00362640
49903035176,5176,Panaewa (Agricultural) Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,01853349
